name,qualification,speciality,experience,languages,location,opd_timings,expertise,services,profile_url,hospital
Dr. Sagari Gullapalli,"MD, DM Neurology, PDF Epilepsy",Consultant Neurologist & Epileptology Specialist (Pediatric & Adult),14 Yrs,"Hindi, English, Telugu, Tamil, Malayalam",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 05:00 PM,"Pre-Surgical Evaluation and Planning for Surgery in Epilepsy and Post Op Management, Reporting Video EEGs and Prolonged Video EEGs for Presurgical Patients, Multimodality Screening for the Epileptogen…","All types of stroke (including thrombolysis), Headaches, Neuropathies, Neuromuscular Disorders, Muscle Diseases, Neuroimmunology",https://www.yashodahospitals.com/doctor/hitec-city/neurology/dr-sagari-gullapalli/,Yashoda Hospital Hitec City
Dr. Sai Thirumal Rao Veerla,"MS(Ortho)Fellowship In Arthroscopy & Sports Medicine (Cardiff, UK),Fellowship in Arthroplasty (Germany),Dip. In Sports Medicine (IOC)",Senoir Consultant Specializing in Arthroscopy & Joint Replacement,12 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 04:00 PM Evening OPD: MON – SAT : 04:00 PM – 07:00 PM,"Arthroscopic Surgeries (Knee & Shoulder), Knee and Hip Replacement, Minimally Invasive Trauma , Sports Medicine and Orthopaedic Rehabilitation, Cartilage Injuries and Regenerative Medicine","Minimally Invasive Trauma, Arthroscopy Surgeries for Shoulder – Rotator Cuff Injuries, Labral Injuries & Instability (Dislocations), Arthroscopy Surgeries for Knee – Ligament injuries (ACL, PCL,MPFL, …",https://www.yashodahospitals.com/doctor/hitec-city/orthopaedics/dr-sai-thirumal-rao-veerla/,Yashoda Hospital Hitec City
Dr. Santosh Enaganti,"MD, MRCP, CCT (Gastro) (UK), FRCP (London)Advanced Endoscopy Fellowship, UKLiver Transplantation fellow, UKFormerly NHS UK Consultant","Sr. Consultant Medical Gastroenterologist, Hepatologist & Third Space Endoscopist, Clinical Director.",27 Yrs,"Telugu, English & Hindi",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Level 4 Colonoscopist- JAG (UK), EMR/ESD Techniques for Endoscopic Removal of Large Polyps and Early Malignant Lesions, Complex ERCP/Lithotripsy Procedures, Endoscopic Ultrasound-Guided Fine Needle As…","Comprehensive GI and Hepatology Services, Management of Luminal Gastroenterology problems like Ulcers/Strictures, Dyspepsia, Reflux, IBS, GI Bleeding, Management of IBD (Adults and Paediatrics), Manag…",https://www.yashodahospitals.com/doctor/hitec-city/gastroenterology/dr-santosh-enaganti/,Yashoda Hospital Hitec City
Dr. Sariki Veda Sai Maheswari,"MBBS, MS, FCRS",Cataract Phaco & Lasik SurgeonConsultant Ophthalmologist.,2 Yrs,"English, Hindi, Telugu, Marathi, Kanada",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 05:00 PM,"Advances of Phacoemulsification, Management of Retinal Diseases, Corneal Refractive Surgeries, Pediatric Ophthalmology","Cataract Evaluation, Cataract Surgery, Glaucoma Treatment, Refractive Procedures, Medical Retina Treatment, General Ocular Evaluation",https://www.yashodahospitals.com/doctor/hitec-city/ophthalmology/dr-sariki-veda-sai-maheswari/,Yashoda Hospital Hitec City
Dr. Satyesh Chowdary Muppavarapu,"MBBS, MD Pediatrics (JSSAHER, Mysuru) DM Pediatric Neurology (AIMS, Kochi)",Consultant Paediatric Neurologist,6 Yrs,"English, Telugu, Hindi, Kannada, Malayalam",Hitec City,Day time OPD: MON-SAT : 10.30 AM to 05.30 PM,"Neuromuscular Disorders, Paediatric Movement Disorders, Paediatric Epilepsy, Neonatal Neurology, Dietary Therapy in Complex Epilepsy, Paediatric Demyelination","Neuromuscular Disorders, Paediatric Movement Disorders, Paediatric Epilepsy, Neonatal Neurology, Dietary Therapy in Complex Epilepsy, Paediatric Demyelination",https://www.yashodahospitals.com/doctor/hitec-city/pediatric-neurology/dr-satyesh-chowdary-muppavarapu/,Yashoda Hospital Hitec City
Dr. Shatabdi Giri,"MBBS, MD Paediatrics (Gold Medalist), DrNB Paediatric Cardiology",Consultant Pediatric Cardiologist,2 Yrs,"English, Hindi, Oriya",Hitec City,Day time OPD: MON-SAT  : 9.00 am – 5:00 pm,"Pediatric Echocardiography, Pediatric Pulmonary Hypertension","Comprehensive Cardiac Evaluation, Detailed clinical assessment including history, physical examination, and risk stratification., Diagnostic Cardiology , Pediatric Echocardiography (2D, 3D, Fetal Echo…",https://www.yashodahospitals.com/doctor/hitec-city/pediatric-cardiology/dr-shatabdi-giri/,Yashoda Hospital Hitec City
Dr. Shikhar Kumar,"MBBS, MD (PGIMER Chandigarh), DM Medical Oncology (Tata Memorial Hospital, Mumbai), ECMO (European Certified Medical Oncologist)",Consultant Medical Oncologist,13 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,Services info not available,https://www.yashodahospitals.com/doctor/hitec-city/medical-oncology/dr-shikhar-kumar/,Yashoda Hospital Hitec City
Dr. Sindhura Mandava,"MD (DVL), FAM (USA)",Sr. Consultant Dermatologist & Aesthetics,14 Yrs,"English, Telugu, Hindi, Tamil, Kannada",Hitec City,Day time OPD: MON – SAT : 11:00 AM – 03:00 PM,"Clinical Dermatosurgery and Lasers, Anti Ageing Treatments, Hair Fall Treatments, Skin Rejuvenating Therapies, Acne Treatments, Non Invasive Procedures","Medi Facials, Hydra Facials, Skin Booster, Skin Lightening, Skin Tag & Warts Removal, Skin Biposy",https://www.yashodahospitals.com/doctor/hitec-city/dermatology/dr-sindhura-mandava/,Yashoda Hospital Hitec City
Dr. Somnath Gupta,"MBBS, DNB (Internal Medicine), MNAMS, MHSC (Diabetology), FIID (Infectious Diseases, Australia)CCRJD (Rheumatology), PGDED (Endocrinology & Diabetes – RCP, UK)",Sr. Consultant Physician & DiabetologyCLINICAL DIRECTOR,15 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM Evening OPD: MON – SAT : 4:00 PM – 5:30 PM,"General Medical Disorders, Diabetes, Rheumatological Diseases, Infectious Diseases, Allergy and Immunological Disorders","Handling of casualties & critically ill patients, Geriatric Care, Vast Clinical Experience in Handling ICU Patients, Adult Vaccination, Treatment and Management of, HIV",https://www.yashodahospitals.com/doctor/hitec-city/general-medicine/dr-somnath-gupta/,Yashoda Hospital Hitec City
Dr. Srinath,"MBBS, MD Accident and Emergency Medicine","Senior Consultant & Group Head, Department of Emergency Medicine",27 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,Services info not available,https://www.yashodahospitals.com/doctor/hitec-city/emergency-services/dr-srinath/,Yashoda Hospital Hitec City
